X,Y,Resistivity,Chargeability
6.25,-0.313,345.56,1.84
8.75,-0.313,340.01,1.84
11.25,-0.313,382.18,1.77
13.75,-0.313,268.62,1.63
16.25,-0.313,327.41,1.54
18.75,-0.313,220.01,1.4
21.25,-0.313,213.64,1.22
23.75,-0.313,188.56,1.18
26.25,-0.313,220.53,1.28
28.75,-0.313,178.53,1.51
31.25,-0.313,203.16,1.6
33.75,-0.313,222.79,1.76
36.25,-0.313,194.07,1.65
38.75,-0.313,211.19,1.75
41.25,-0.313,201.31,1.77
43.75,-0.313,193.42,1.94
46.25,-0.313,273.87,2.15
48.75,-0.313,361.27,2.02
51.25,-0.313,262.5,2.05
53.75,-0.313,330.92,1.84
56.25,-0.313,315.75,1.77
58.75,-0.313,304.47,1.71
61.25,-0.313,332.36,1.63
63.75,-0.313,483.25,1.62
66.25,-0.313,438.49,1.7
68.75,-0.313,363.04,1.72
71.25,-0.313,452.89,1.88
73.75,-0.313,492.01,1.94
76.25,-0.313,580.12,1.69
78.75,-0.313,327.58,1.79
81.25,-0.313,279.95,1.66
83.75,-0.313,272.92,1.61
86.25,-0.313,208.8,1.49
88.75,-0.313,267.17,1.42
91.25,-0.313,216.69,1.25
93.75,-0.313,306.39,1.31
96.25,-0.313,266.45,1.37
3.75,-0.625,382.27,1.91
6.25,-0.625,345.56,1.84
8.75,-0.625,340.01,1.84
11.25,-0.625,382.18,1.77
13.75,-0.625,268.62,1.63
16.25,-0.625,327.41,1.54
18.75,-0.625,220.01,1.4
21.25,-0.625,213.64,1.22
23.75,-0.625,188.56,1.18
26.25,-0.625,220.53,1.28
28.75,-0.625,178.53,1.51
31.25,-0.625,203.16,1.6
33.75,-0.625,222.79,1.76
36.25,-0.625,194.07,1.65
38.75,-0.625,211.19,1.75
41.25,-0.625,201.31,1.77
43.75,-0.625,193.42,1.94
46.25,-0.625,273.87,2.15
48.75,-0.625,361.27,2.02
51.25,-0.625,262.5,2.05
53.75,-0.625,330.92,1.84
56.25,-0.625,315.75,1.77
58.75,-0.625,304.47,1.71
61.25,-0.625,332.36,1.63
63.75,-0.625,483.25,1.62
66.25,-0.625,438.49,1.7
68.75,-0.625,363.04,1.72
71.25,-0.625,452.89,1.88
73.75,-0.625,492.01,1.94
76.25,-0.625,580.12,1.69
78.75,-0.625,327.58,1.79
81.25,-0.625,279.95,1.66
83.75,-0.625,272.92,1.61
86.25,-0.625,208.8,1.49
88.75,-0.625,267.17,1.42
91.25,-0.625,216.69,1.25
93.75,-0.625,306.39,1.31
96.25,-0.625,266.45,1.37
3.75,-1.938,506.82,1.95
6.25,-1.938,391,1.89
8.75,-1.938,330.55,1.87
11.25,-1.938,314.78,1.79
13.75,-1.938,297.16,1.66
16.25,-1.938,329.18,1.55
18.75,-1.938,269.45,1.41
21.25,-1.938,234.65,1.24
23.75,-1.938,229.33,1.2
26.25,-1.938,221.77,1.3
28.75,-1.938,193.1,1.53
31.25,-1.938,196.65,1.65
33.75,-1.938,191.86,1.79
36.25,-1.938,206.8,1.71
38.75,-1.938,189.68,1.78
41.25,-1.938,189.08,1.81
43.75,-1.938,224.46,1.94
46.25,-1.938,139.4,2.2
48.75,-1.938,164.17,2.16
51.25,-1.938,309.42,2.11
53.75,-1.938,371.05,1.96
56.25,-1.938,428.97,1.84
58.75,-1.938,411.33,1.74
61.25,-1.938,385.66,1.65
63.75,-1.938,454.03,1.63
66.25,-1.938,458.16,1.71
68.75,-1.938,367.36,1.75
71.25,-1.938,504.51,1.9
73.75,-1.938,286.91,1.97
76.25,-1.938,359.06,1.79
78.75,-1.938,428.18,1.83
81.25,-1.938,387.54,1.72
83.75,-1.938,317.2,1.64
86.25,-1.938,254.82,1.53
88.75,-1.938,267.85,1.42
91.25,-1.938,226.83,1.29
93.75,-1.938,288.86,1.33
96.25,-1.938,247.7,1.39
3.75,-3.381,524.48,2
5,-3.381,524.48,2
6.25,-3.381,524.48,2
8.75,-3.381,335.11,1.94
11.25,-3.381,315.52,1.87
13.75,-3.381,330.19,1.73
16.25,-3.381,384.24,1.6
18.75,-3.381,352.72,1.46
21.25,-3.381,301.7,1.31
23.75,-3.381,271.6,1.28
26.25,-3.381,233.15,1.39
28.75,-3.381,197.45,1.64
31.25,-3.381,178.45,1.82
33.75,-3.381,167.18,1.95
36.25,-3.381,183.86,1.87
38.75,-3.381,164.53,1.86
41.25,-3.381,177.1,1.87
43.75,-3.381,266.82,1.96
46.25,-3.381,80.63,2.27
48.75,-3.381,89.83,2.32
51.25,-3.381,283.46,2.22
53.75,-3.381,297.57,2.16
56.25,-3.381,400.55,1.98
58.75,-3.381,424.5,1.82
61.25,-3.381,383.09,1.7
63.75,-3.381,408.12,1.68
66.25,-3.381,445.98,1.76
68.75,-3.381,393.36,1.84
71.25,-3.381,440.39,2
73.75,-3.381,137.02,2.1
76.25,-3.381,228.48,2
78.75,-3.381,469.37,1.97
81.25,-3.381,444.38,1.87
83.75,-3.381,341.66,1.76
86.25,-3.381,277.11,1.63
88.75,-3.381,264.06,1.48
91.25,-3.381,247.97,1.39
93.75,-3.381,262.33,1.41
95,-3.381,262.33,1.41
96.25,-3.381,262.33,1.41
3.75,-4.969,355.04,2.02
7.5,-4.969,355.04,2.02
11.25,-4.969,355.04,2.02
13.75,-4.969,299.05,1.85
16.25,-4.969,368.19,1.7
18.75,-4.969,391.14,1.57
21.25,-4.969,363.74,1.45
23.75,-4.969,313.99,1.43
26.25,-4.969,259.71,1.56
28.75,-4.969,209.16,1.82
31.25,-4.969,179.42,2.04
33.75,-4.969,168.85,2.14
36.25,-4.969,175.17,2.03
38.75,-4.969,163.86,1.93
41.25,-4.969,191.96,1.88
43.75,-4.969,276.71,1.93
46.25,-4.969,64.41,2.25
48.75,-4.969,73.03,2.33
51.25,-4.969,209.93,2.22
53.75,-4.969,161.39,2.27
56.25,-4.969,205.57,2.09
58.75,-4.969,265.98,1.89
61.25,-4.969,292.34,1.76
63.75,-4.969,322.62,1.74
66.25,-4.969,349.6,1.83
68.75,-4.969,311.05,1.97
71.25,-4.969,258.77,2.15
73.75,-4.969,68.36,2.23
76.25,-4.969,147.39,2.21
78.75,-4.969,365.49,2.17
81.25,-4.969,387.78,2.07
83.75,-4.969,327.86,1.94
86.25,-4.969,282.81,1.77
88.75,-4.969,271.86,1.55
92.5,-4.969,271.86,1.55
96.25,-4.969,271.86,1.55
3.75,-6.716,234.38,2.05
8.75,-6.716,234.38,2.05
13.75,-6.716,234.38,2.05
16.25,-6.716,260.55,1.89
18.75,-6.716,293.81,1.8
21.25,-6.716,308.57,1.72
23.75,-6.716,289.36,1.72
26.25,-6.716,253.18,1.85
28.75,-6.716,212.04,2.07
31.25,-6.716,187.21,2.26
